,,,,,,,,
Financial Year,Week Number,Week start date,Week end date,RTD tarrif rate,RTDs and Spirits,,,
,,,,,"Tariff 2.00
RTDs; Other excisable beverages not exceeding 10% by volume of alcohol",average rtd consumptionper tarrif period,,"Tariff 3.00
Spirits; Other excisable beverages exceeding 10% by volume of alcohol"
,,,,,(litres of alcohol),,,(litres of alcohol)
2006-07,24,09/12/2006,15/12/2006,37.90,"521,137",,"19,751,092","107,179"
2006-07,25,16/12/06,22/12/06,37.90,"494,777",,"18,752,048","103,203"
2006-07,26,23/12/2006,29/12/2006,37.90,"307,786",,"11,665,089","71,818"
2006-07,27,30/12/06,5/1/07,37.90,"229,845",,"8,711,126","47,028"
2006-07,28,06/01/2007,12/01/2007,37.90,"247,368",,"9,375,247","38,098"
2006-07,29,13/1/07,19/1/07,37.90,"306,122",,"11,602,024","40,804"
2006-07,30,20/01/2007,26/01/2007,37.90,"285,199",,"10,809,042","53,455"
2006-07,31,27/1/07,2/2/07,,"324,097",,0,"62,698"
2006-07,32,03/02/2007,09/02/2007,38.20,"255,267","324,661","9,751,199","42,808"
2006-07,33,10/2/07,16/2/07,38.20,"247,684",,"9,461,529","42,226"
2006-07,34,17/02/2007,23/02/2007,38.20,"291,423",,"11,132,359","34,413"
2006-07,35,24/2/07,2/3/07,38.20,"332,389",,"12,697,260","48,962"
2006-07,36,03/03/2007,09/03/2007,38.20,"325,752",,"12,443,726","45,290"
2006-07,37,10/3/07,16/3/07,38.20,"338,159",,"12,917,674","49,384"
2006-07,38,17/03/2007,23/03/2007,38.20,"340,347",,"13,001,255","59,454"
2006-07,39,24/3/07,30/3/07,38.20,"437,795",,"16,723,769","73,782"
2006-07,40,31/03/2007,06/04/2007,38.20,"383,316",,"14,642,671","74,064"
2006-07,41,7/4/07,13/4/07,38.20,"311,459",,"11,897,734","60,665"
2006-07,42,14/04/2007,20/04/2007,38.20,"292,764",,"11,183,585","40,714"
2006-07,43,21/4/07,27/4/07,38.20,"347,375",,"13,269,725","54,037"
2006-07,44,28/04/2007,04/05/2007,38.20,"322,167",,"12,306,779","45,988"
2006-07,45,5/5/07,11/5/07,38.20,"263,554",,"10,067,763","41,440"
2006-07,46,12/05/2007,18/05/2007,38.20,"270,599",,"10,336,882","49,246"
2006-07,47,19/5/07,25/5/07,38.20,"269,635",,"10,300,057","45,661"
2006-07,48,26/05/2007,01/06/2007,38.20,"332,309",,"12,694,204","55,894"
2006-07,49,2/6/07,8/6/07,38.20,"326,667",,"12,478,679","52,899"
2006-07,50,09/06/2007,15/06/2007,38.20,"301,091",,"11,501,676","52,071"
2006-07,51,16/6/07,22/6/07,38.20,"331,201",,"12,651,878","61,945"
2006-07,52,23/06/2007,29/06/2007,38.20,"435,943",,"16,653,023","81,022"
2007-08,1,1/7/07,7/7/07,38.20,"319,499",,"12,204,862","67,463"
2007-08,2,8/7/07,14/7/07,38.20,"326,775",,"12,482,805","58,630"
2007-08,3,15/7/07,21/7/07,38.20,"347,840",,"13,287,488","65,472"
